宪明 - 来不及说对不起|魏俫原创合集
唢呐哥阿圣 - 數碼暴龍 嗩吶版|
金泰焕 - 盂兰盆节|
文柒兩 - 外面的世界|
敏敏 - 蛍|
歳月儒歌 - 地球人都知道我爱你|
刘少林 - 鄱阳城|
湯柊月 - 好想告诉你|
娌小涵 - 看到你流泪我会心碎|
偲卿 - 如果如果是如果|
常香玉 - 哭啼啼把官人急忙搀起 (豫剧版)|
爍妍 - 一笑倾城|
巴韵阳 - 回忆里的歙县 (原版伴奏)|
胡越锦佃 - 蝴蝶少女|
湜非 - 花惑|
大澐 - 化身孤岛的鲸|
有澤孝紀 - 第2回録音未収録劇伴集 (第2回录音未收录剧伴集)|
儿童歌曲 - 乌鸦反哺|
马大镛 - 风动心动|
捂脸神兽月神 - 走过世界每个角落|
择荇 - 与君书|
神谷浩史 - 獲物|
傷感媹在訫浬 - 让泪化作相思雨|
陌上颜烬 - 饮鸩相思|
疗伤音乐屋 - 跆拳道舞见过没,没想到可以这么帅!|
哝啊呐 - 爱在两地间|
谢浛露 - 懂你 (慢中四版)|
贺斌 - 山路陡山路长 (原版伴奏)|
阿香 - 香榧|
蒙誊李爱中 - 赞美之泉|
莪卜素怪獸 - 他还是不懂|
下野紘 - 八|
下野紘 - 四|
下野紘 - 九|
张偲 - 最后一夜 (伴奏)|
柿原徹也 - 紋白蝶|
柿原徹也 - 弐|
13樂鈁.蓝蓝儿妹 - 谁说也不信他|
酗酒的乌鸦 - 色即是空|
卿爻 - 忘情|
訫還諟會疼 - 他将是你的新郎|
使徒礼賛 - 神体|
有染亡我鄉 - 广岛之恋|
近藤隆 - 実験開始|
濑田水一 - 菖蒲花|
墨姳 - 看朱成碧|
婼心 - 一万个舍不得|
椙山浩一 - 加護|
儿童歌曲 - 焐被窝|
泽溪 穸月 - 梨花古词|
儿童歌曲 - 午睡:秋的喁语|
渡辺俊幸 - 落胆 臨床医不適格|
渡辺俊幸 - 組織 特能保全委員会|
滴水微谰 - 有多少爱可以重来|
桁月筱 - 故人杯|
貪翫少爺 - 我们都一样|
海峽依依 - 套马杆|
网络歌手 - 出门人 河湟民间小调|
焰烽 - 梦中灵柩 (原版伴奏)|
张国锋 - 月下僰人|
西楼 - 镍|
黄观 - 同聲同氣|
篦曜 - 妖异志之半生妖|
鍾 - 等你来到我身边|
羽多野渉 - 第二章|
羽多野渉 - 第六章|
羽多野渉 - 第七章|
羽多野渉 - 終章|
羽多野渉 - 第四章|
羽多野渉 - 第一章|
绯莲 - 幻滅|
終點 - 到哪里找那么好的人 (雨君后期制作样品)|
吴兆基 - 韩偓:已凉|
羽多野渉 - 序章|
櫻井孝宏 - 宗方絢人役|
羽多野渉 - 柊 弓弦役|
悠悠 - 洣水源|
华语群星 - 回梦游仙 (贶贶)|
张茈涵 陈嘉莹 高麓涵 - 展翅飞翔|
高橋広樹 - 二律背反的鎮魂歌|
稅子洺 - 恋爱解码|
稲本響 - 夕陽|
湜非 - 桃花泪|
盛剀 - 爱的力量|
澧琦 - 童年的回忆|
汉宇浩穹 - 毗卢遮那佛心咒|
佀命 - 念旧|
孙鼐 - 痕迹|
采桑 - 垫脚石|
櫻井孝宏 - 特訓|
石田彰 - 九度山蟄居|
石田彰 - 如月 追儺|
寺島拓篤 - 第零場|
 夨 憶 針 - 天使的咒语|
小銰 - 流浪花|
湜非 - 末世.冬日|
天籁天 - 俏鄱阳|
湜非 - 梦里寻蝶双飞翼|
住友紀人 - 警察庁情報局|
南宫秋澧 - 秦淮景|
儿童歌曲 - 凿壁偷光|
风倾 - 一望风月,一蓑烟雨|
儿童歌曲 - 57.昐红军|
钟鹰乐 - 我是细坳人|
君子 - 柸中有雪 (原版伴奏)|
王高铼 - 刻舟求剑|
眠眠 - 剑谶|
儿童歌曲 - 58.蜜蜂叮瘌痢|
和田薫 - 練習曲?|
凃小波 - 亲爱的你在哪里|
珋云小主 - 归寻|
吴泗滨 - 小雨谣|
尹光 - 一个黐胶线的少年 (原版伴奏)|
潋音蝶火 - 琅琊阁|
聼悦 - 江山好|
冼家逴 - 人生低潮 (原版伴奏)|
二万 渊 - 并辔|
吴兆基 - 李颀:古从军行|
冼家逴 - 想走 (降调版伴奏)|
土岐隼一 - 風|
冼家逴 - 夏至 (原版伴奏)|
白发魔女冰渃灆 - 情人劫|
文柒兩 - 伊人|
贾永久 - 俺外甥在部队给我来信 (豫剧版)|
小喨 - 童年|
李嫵伈 - 听心|
丁噹 - 最幸福的事|
俠义为道 - 难耐一身闲|
镹阳 - 送亲|
海峽依依 - 情醉西湖|
梁宇軒 - 一个人也很好|
蓝馨妮 - 三月三畲乡过大年|
重拾情懷 - 故乡的恋人|
濁空風炎 - 木兰诗|
李嫵伈 - 你终于等到她|
鈊鈅 - 百万个吻|
李嫵伈 - 漫天落叶|
焱飝 - 焱飝创作的原声 (片段)|
儿童歌曲 - 55小孩儿嚼泡泡糖|
中井和哉 - 上杉謙信 血戦!川中島 啄木鳥|
李嫵伈 - 离别两依依|
真栗 蓋蓋 - 愛言葉|
文柒兩 - 朱砂泪 (朱砂泪)|
張輝 - 何必流连|
网络歌手 - 椛暗式|
灬紫玉金棘忄 - 凤歌|
黎毅 - 勐罕姑娘|
森田成一 - 朗報|
凃小波 - 酒梦|
网络歌手 - 岩宋勐 傣族勇敢的人|
傅延年 - 三国 共嵇中散尽馀杯|
王艺涛 - 相思碣滩茶|
梁宇軒 - 下雨季节|
贝乐虎三字经 - 第18集 匏土革 木石金|
音嗔 - 傩乡图纹|
翁立友 - 水水的目睭 (原版伴奏)|
村松崇継 - 狗神様|
湜非 - 桃花梦|
紾悕 - 心不在 别说爱|
洛萱 能喵 - 桜花繚乱|
李宝莹 - 西施之苎萝访艳|
华语群星 - 野子 (澐逸扶搖)|
檸檬酥酥酥, - 爱的主打歌|
李存琏 - 槐花几时开|
酗酒的乌鸦 - 我的爱要你知道|
音频怪物 - 恣意江湖|
湜非 - 我可以|
桁月筱 - 洛天依投食歌|
山谷初男 - 童謡|
眞訫 - 那个人|
福山潤 - 恋|
王宗瑭 王亚洲 - 家有老娘就是福 (第二版)|
糖槭 - 你知道我爱你吗|
纯音乐 - 朶萨拉|
領獎 - 痴心绝对|
越剧经典选段 - 凤冠霞帔谢夫人|
剡溪笋 - 霸王别姬|
觎臻 - 无间傀儡|
王玉琪 - 得不到伱|
穸月 - 隔世枷锁|
加藤英美里 - 百花繚乱|
椎名豪 - 緊急入電!|
郗茜 - 拨浪鼓|
中央少年广播合唱团 - 蒺藜狗 蒺藜花|
丷挽柔丷 - 你的答案|
郭锌 - 安和桥|
唐嫣 - 电视剧<何以笙箫默>花絮 - 呆萌頑皮|
荼荠 - 春意散|
灕千夜 - 冬眠|
邵華如駛 - 达拉崩吧|
冰山火种 - 长歌确荦|
儿童歌曲 - 望蓟门(唐)祖咏|
觯颐 - 老婆你辛苦了|
纯音乐 - 侧踵步|
元偉立 - 筱|
湜非 - 绿水云河|
冬幻境 - 花一匁|
南宫流鍪 - 山河令|
天野正道 - 第一楽章 伝説|
羅煒 - 给你留念|
觯颐 - 为爱流下伤心泪|
缎子 - 两两相望|
苏又镕 - 爱人再会 (原版伴奏)|
纯音乐 - 李斌阿强朶撒拉情义调 (陈琴)|
耿靖 / 英子 - 陡石岩恋歌|
霐 - 火红的萨日朗|
纯音乐 - 红点颏|
讦谯龙 - 拳击选手 (原版伴奏)|
小甜惢 - 我把美酒献给你|
張輝 - 难忘的初恋情人|
張輝 - 我怎么哭了|
樽酒缓行程 - 姜夔-冷月无心寄幽词|
佐橋俊彦 - 戦闘準備|
歌海李佂 - 人也留来地也留 (豫剧版)|
九苘 - 葫芦娃|
張輝 - 迷茫的爱|
聼悦 - 清心谦恭歌|
張輝 - 亲亲的茉莉花|
华科 - 壤巴拉姑娘|
張輝 - 天堂赞歌|
日本群星 - 縮小 (口白)|
張輝 - 再度重相逢|
三石一笑 - 歸鄉|
潶白 - 搞笑|
張輝 - 知道|
張輝 - 爱江山更爱美人|
李清升 - 苦命男孩 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
張輝 - 潮湿的心|
伈鳴 - 青花瓷|
汞钠 - 又见北风吹|
黄方谦 - 槑一度|
汞钠 - 天路|
森川智之 - 進退両難|
鶴山尚史 - 桜花幻影|
薛嘉欐(岳彤) - 西湖情|
汞钠 - 青藏高原|
李嫵伈 - 你的离开带走我的爱|
山西绛州鼓乐艺术团 - 得胜回营 (台南)|
捂脸神兽月神 - 渡雪无舟|
置鮎龍太郎 - 失恋|
領獎 - 你到底爱谁|
下輩子繼續 - 陪你到底|
宮野真守 - 珊瑚 (自己紹介)|
佐橋俊彦 - 校外学習|
置鮎龍太郎 - 煙 (自己紹介)|
銭雄 - 主深爱你|
痲痲 - 这扯淡的人生|
張輝 - 故乡情|
儿童歌曲 - 童声合唱共尹嗌江水|
布蕾醬 敏敏醬 - 宿命|
猫騙 - 虚空|
果哝双子 - 千里邀月|
杨戬霖 - 党旗上飘扬着你的誓言|
宝井纯子 - 楼兰之殁|
湜非 - 魔方人生|
偲卿 - 累了痛了就放手|
蝙蝠 银鲛 - 蘋风令|
湜非 - 谁辜负了爱情|
与猶啓至 - 準備1|
上松範康 - 信頼~木管~|
觎臻 - 弈魂|
黹水 - 清平乐|
纯音乐 - 边陲孩子的祝福|
張輝 - 不了情|
張輝 - 真情比酒浓|
采桑歧路间 - 无题|
張輝 - 我没有骗你|
張輝 - 曾经心痛|
張輝 - 月儿像柠檬|
張輝 - 前缘|
張輝 - 泪的小花|
阿里斯 - 笹舟|
渊筮 - 你比从前快乐|
灬紫玉金棘忄 - 恶魔王|
傷感媹在訫浬 - 等一分钟|
張輝 - 浪子泪|
張輝 - 无情的谎言|
張輝 - 一山一水一首歌|
王进聪 - 良垌中学之歌|
汞钠 - 成都|
偲卿 - 送亲|
桜庭統 - 月詠祭|
镹阳 - 要爱你就来|
酗酒的乌鸦 - 为你放弃全世界|
張輝 - 人生一世不容易|
張輝 - 乡愁|
張輝 - 下辈子不一定遇见|
冷  鋒 - 老爸老妈|
吾恩 - 蛍 (蛍)|
白发魔女_冰渃灆 - 罗密欧与灰姑娘|
恬渟 - 你的酒馆对我打了烊|
椎名豪 - 急襲|
小田和亮 - 拜鹈户|
天野正道 - 決勝戦|
葵 飞雪 - 番凩|
椪柑 - 爸爸的城市 (邓琳洲作曲 椪柑演唱版)|
新田高史 - 大宇宙讃歌|
窳太 - 逐渐加快|
汞钠 - 迎春花|
菰 蝳 - 恼人的秋风+康定情歌+踏浪+拍手歌|
淉沅 - 躲避的爱 (对白版)|
檜山修之 - 諸行無常|
小鳥高飛 - [[革命歌曲集]]阿佤人民唱新歌|
小銰 - 想把你挽留|
有琴惹 - 有心論|
黎毅 - 苦绛珠|
京剧名家名段 - 失空斩恨马谡失街亭令人可恨|
小小姊妺 - 仰望你的帮助|
張傢少爺 - 佛咒|
白发魔女_冰渃灆 - 相爱相杀令|
涂譞 - 百无聊赖|
唐畯骐 - 五百年沧海桑田|
金猪時緔 - 套马杆|
阿葜 - 哈咿莫嘿|
嗳似侞儚~ - 如果你不再回来|
小狒狒 - 听说当初你找过我 (片段)|
桡桡 - 伤之印记|
王建杰 - 呒通放抹记 (原版伴奏)|
郭尒闹 - 兄弟抱一下|
冷鋒 - 披着羊皮的狼|
桜井謙悟 - 謀略|
穆苜 - 繁华唱遍|
盛彦穅 - 你就是英雄|
木风玉玚 - 十宗罪5 后记|
佛经 - 维摩诘经-14嘱累品第十四|
李志刚 - 鮀城之夜 (潮汕语)|
沙莎 - 菡萏血蕊|
闽南语歌曲 - 董小姐 - 张堉灵|
森田成一 - 陰謀|
祁东 - 与家师王依伈|
湜非 - 相思何必怨流年|
郗茜 - 都夸小白兔有礼貌|
乔乔 - 诐世情|
2瓜 - 嗟余歌|
岩崎良美 - 氷|
以呂波屋 - 伊奘冉|
瀧沢一留 - 邂逅|
小濱明人 - 遊聲|
小濱明人 - 闇斬|
~浪跡天涯~ - 疼惜 (合唱閩南語歌曲)|
鹊小楼 - 柸中雪|
儿童歌曲 - 6.17 褡裢儿搭|
厵音 - 女人没有错|
神奈延年 - 神奈延年(曹丕/魏)編|
稲田徹 - 稲田徹(呂布/他)編|
纯音乐 - 飞鬃马|
湜非 - 怎么才叫真爱过|
隱身 - 好几年|
纯音乐 - 吊镲声|
穸月 - 笑拥江山梦|
步爻 - 你的酒馆对我打了烊|
祀寻 - 解语花|
渃飏 - 晚婚|
枍 - 大眠|
枍 - 勇气|
福山潤 - 2-3=0|
霐 - 故乡有多远思念就有多远|
隱身 - 我要找到你|
巫医子 - 剎那芳華曲|
艾糯勐傣 - 爱你没信号|
鋭鋭 - 魔鬼中的天使|
萫仩飛謌 - 坐上火车去拉萨|
北苼 - 错爱|
張輝 - 心事谁人知|
富贵哥 缎子 - 小星星|
村松崇継 - 壺|
真情关心 - 有铜钿人 呒铜钿人|
无吔学生 - 幻灯花|
隱身 - 火红的萨日朗|
11號髙峰 - 一起走过的日子|
時遊戯画 - 東方怪奇談 (東方靈異伝)|
莳珩 - 昨日青空|
郇世龙 - 毒解药|
佲哥 - 饭后一支烟|
湜非 - 曾经心痛|
潮州阿舍 - 咸甜酸蔹涩|
韩学康 - 我家我梦我鄄城|
歳月儒歌 - 缘分来了就是你|
酗酒的乌鸦 - 忘记谁我也不会忘记你|
文柒兩 - 逍遥|
杉田智和 - 臨時職員会議|
文柒兩 - 龙腾万里 (秦时明月)|
镹阳 - 逃爱|
桜庭統 - 陰謀|
吉川洋一郎 - 窮地 (困境)|
歳月儒歌 - 酒醉|
吉川洋一郎 - 初勝利|
吉川洋一郎 - 飛躍|
黄子韬 - 日晷站生日贺频 2 饭制版|
与猶啓至 - 準備2|
加川良 - 教訓1|
纸马 - 妄想感傷代償連盟|
贝乐虎三字经 - 第10集 曰黄道 日所躔|
莊蕎嫣 - 夜晚|
朱桎材 - 我好像在哪见过你|
哚哚 - 降温|
黄潢 - 错爱|
有染亡我鄉 - 满庭芳|
张永君 - 大骊靬|
纯音乐 - 長協奏曲|
聼悦 - 他必要看顾你|
儿童歌曲 - 6 六隻小鴨子 - 數字兒歌 - 碰碰狐!兒童兒歌|
张偲偲 - 要告诉你一件事情|
小俊 - 髑髅地的路|
众菊苣 - 你听得到|
盛彦穅 - 国仪之歌|
栋二 - 相约勐弄|
祇園精舎 - 風紀委員 静香 参上!|
爅昱 - 腐草为萤|
祇園精舎 - 奥義!夢魔逆鱗!|
新田高史 - 祝詠|
欣歆然 - 身寄水云间 (六铢衣)|
祇園精舎 - 黒焔之鎧 生誕!|
天野正道 - 超神誕生|
宇倾祀 - 不值得|
大航 - 酒多伤胃|
平井真美子 - 誘拐!|
上野耕路 - 貯水池|
天野正道 - 超神伝説|
天野正道 - 大観覧車|
天野正道 - 大空襲|
纯音乐 - 脢茫脟茅贸脻|
立花慎之介 - 帰還|
寺島拓篤 - 陸:陽継|
薜晨 - 我还是我|
飄然一過 - 小小新娘花|
新田高史 - 暁之祝詠|
富樫雅彦 - 焚火|
吴泗滨 - 又唱桃花盛开的地方|
重拾情懷 - 月西沉(粵曲小調)重錄版|
王湳湳 - 拥抱着你的滋味|
鱆小鱼 - 明天会更好|
綄美天使 - 流泪的情人|
閦歆 - 站着坐着都想你|
!!!.爃悿 - 红尘情歌|
小俊 - 听那擘饼的声音|
刘教授 - 冷的噻|
湜非 - 错过的牵手|
李琂辞 - 王琳琳|
李直 - 青龙偃月刀|
魂凫 - 归还|
電気式華憐音楽集団 - 鬼気襲来|
電気式華憐音楽集団 - 無限白夜|
龙行天下 - 大出殡|
紫蘅 - 遵佛令|
電気式華憐音楽集団 - 自我不明|
天野正道 - 輸血|
東野美紀 - 鉄人登場|
一顆爱你的心 - 如果看到她请告诉我|
陌虛生 - 找一个字代替|
穸月 - 难忘的笑颜|
儿童歌曲 - 3. 佛號歌唱版|
儿童歌曲 - 3 三隻小豬 - 數字兒歌 - 碰碰狐!兒童兒歌|
周驷 - 老牛|
国家桁 - 你是我所有的梦|
姜夔 - 杏花天影|
纯音乐 - 临风荥|
若本規夫 - 喝|
新田高史 - 讃|
我就糟蹋音乐 - 爱情这杯酒谁喝都得醉|
新井里美 - 正面突破無敵少女 (正面突破无敌少女)|
纯音乐 - 挙动不审|
湮滅 - 左手指月|
光田康典 - 勝利!|
海峽依依 - 想你 在每个夜里|
尾澤拓実 - 月扉~弐|
网络歌手 - 景颇歌 文蚌枝系|
嵇颂贤 - 一|
妖彡炁 - 失落沙洲 (原版伴奏)|
娟儿&経典老歌 - 小酒窝|
杺馡紫衣 - 今生的爱前世的债|
媃儿 - 唱的响亮|
丅一詀垨候521 - 下辈子不做女人|
汞灯 - 芝麻香|
酒井法子 - 夢冒険 (中文版伴奏)|
文彣 - 嘴巴嘟嘟|
酢浆 - 歧路不成歌|
羽田健太郎 - 西暦2066年|
纭瑟 - 海妖|
張仔 - 阿爸原諒我 (台語歌唱版)|
胤心 - 癸未乙未|
汉光 - 说句心裏话|
天海祐希 - <第一幕> 第二場 調理場(台所)::英国紳士|
曲博浛 - 一生独一|
苺坊主 - 聖 白蓮|
調味料 - 開館|
調味料 - 閉館|
苺坊主 - 百鬼地獄街道|
風水嵯峨 - 罪|
汵宇 - 情霜|
亦灿 - 邑犬群吠|
儿童歌曲 - 35.丼底娃|
青莀 - 暗示分离|
篠原敬介 - 距離|
白井貴子 - 苺|
海峽依依 - 女人不是男人|
儿童歌曲 - 36.嫩绿的豆荚|
王少楼; 李洪福 - 取荥阳 (1932年百代唱片)|
祭囃子 - 细氷|
艺夲 - 行者|
三畿道 - 幽灵法则|
马瑞钖 - 恋与伤|
艺夲 - 原来|
飄然 - 天籁|
南农楠小秾 - 蔡徐坤舞台魅力值大放送|
上松美香 - 花 (滝廉太郎/上松美香編)|
阿睿凌霓剑裳 - 诗经训诂|
点厾艺宛 - 醉酒歌|
兽栢森 - 骗自己|
纯音乐 - 公鹌鹑|
马诗谩 - 猎刃|
贰婶 赫赫 - 鸾歌-并辔|
鸩想 - 春风化雨|
温浔云 - 歸陵|
小3真子 - 夏之初之犬吠|
伈随风飞~ - 爱你爱的醉了|
马木甬 - 二言目|
綯气宝宝 - 回心转意|
聼悦 - 橄榄山头歌|
唐慕氶 - 最美的伤口|
篠螺悠那 - 天乐|
泷歧 - 十一月三|
儿童歌曲 - 24黄莲豆用嘴嚼|
杨烑烑 - 广寒宫|
凌杕 - 叙世|
刘晓晓 - 霓岙山谣|
永恒天家 - 向主忠心遵行父旨意|
儿童歌曲 - 24.沷水歌|
光収容 - 自白|
吴泗滨 - 请听我们的捷报|
谷雨泽 - 我胃口不好因为我忘了吃药|
赫遜河海豚 - 夜雨|
杨烑烑 - 以后的以后|
梁益銘 - 曾经有你|
舒弋波 - 茭湖记忆|
中唱群星 - 赵志刚,顾爱军,陈湜 -|
鍾 - 红叶斜落我心寂寞时|
寕夏_ - 谁动了我的琴弦|
矢野顕子 - 春咲小紅|
网络歌手 - 表演音乐 智善馆跆拳道|
吴金黛 - 螽蟴|
风潮唱片 - 台湾骚蟴|
紟貹無悔 - 来生缘|
汵宇 - 她的眼睛会唱歌|
郭尒闹 - 我曾|
纯音乐 - 薩丽哈最听毛主席的话 (大提琴版)|
蓝四爷 - 彳亍寒夜|
宮内庁楽部 - 黄鐘調音取|
网络歌手 - 丅雨 悲情 铁达尼|
杨烑烑 - 像鱼|
黎林生 - 畲家米酒敬亲人|
客家龙弟 - 崖爱在秀篆找补娘|
思雨 - 洮南我美丽的家|
平井真美子 - 鎮魂|
纯音乐 - 木屐|
緈諨 - 谁为谁流泪|
緈諨 - 痴情的爱|
网络歌手 - 扬剧 秦雪梅吊孝 原说是凤冠霞帔给我穿戴 李开敏|
朱芃菲 - 新女儿情 (原版伴奏)|
漴尔 - 电灯胆|
寕夏_ - 人情世故|
南宫兲 - 是否我真的一无所有|
緈諨 - 酒梦|
儿童歌曲 - 23 圖形一家人 - 數字兒歌 - 碰碰狐!兒童兒歌|
緈諨 - 错误的爱|
华语群星 - 百舸争流|
艾糯勐傣 - 爱上远寨姑娘|
緈諨 - 无聊的游戏|
緈諨 - 无言的温柔|
岩男潤子 - 夜之歌|
杉並児童合唱団 - 約束|
寕夏_ - 当爱再靠近|
刘桤 - 别知己|
青樓 - 不如不见|
颜殁 - 黄粱|
网络歌手 - 贡山情歌 (阿普俅帕)|
花世 - 北邙终舞|
渥美定義 - 河童|
渥美定義 - 睡蓮|
渥美定義 - 潮騒 (海潮)|
藤澤慶昌 - 危机一髪!|
藤澤慶昌 - 潜入捜索|
寕夏_ - 没有你的日子我真的好孤单|
3776 - 洞窟探検|
酗酒的乌鸦 - 我这一生|
李嫵伈 - 骗我|
椎名蔷薇 - 风之甬道|
嗳似侞儚 - 我不再是你疼爱的人|
赫遜河海豚 - 安平追想曲|
寕夏_ - 多情种|
置鮎龍太郎 - 神楽 終幕|
焘焘 - 猜 (伴奏版)|
纯音乐 - 哥的妺子亲又亲|
小隗 - 江陵|
栋二 - 勐弄欢迎你|
儿童歌曲 - 28.泥土的馈赠|
虞淙 - 我们这一代清华人|
韦遵政 - 这个城市里|
网络歌手 - 傣歌同一片蓝天勐遮景真|
罗福祥 - 美丽的沙澧|
虞淙 - 老陕人爱吃臊子面|
虞淙 - 挺起我们的胸膛|
王恪伋 - 越来越不懂 (片段)|
纯音乐 - 人群说话嘈杂声音|
王恪伋 - 空城 (片段)|
萧亚轩 - 至少还有你 (2001香港红確演唱会)|
网络歌手 - 左脚舞 小妹想哥跺跺脚|
野田奈津実 - 稲穂|
东北大鹌鹑 - 当你老了|
田輝 - 鸿雁|
陈勰 - 生无可恋|
窳太 - 妄想税|
网络歌手 - 芗剧 姑嫂血泪 全集 4-4过三关之拶刑与五十大板|
欹欹 - 绮梦|
一準 - 就是爱你 (小黄人版)|
陶雨軒 - 苗族情感语录串烧|
兽栢森 - 小暴脾气|
卡丘嚯 - 卡丘嚯创作的原声 (片段)|
有染亡我鄉 - 幽媾之往生|
杨朗 - 綦江姑娘|
皛半 - 沿途有你|
田中公平 - 荒廃|
马庆红 - 苕帚苗故乡|
纯音乐 - 矓錿泳鴻昆明调|
亖黑仔 - 又见一帘幽梦 古典吉他独奏|
置鮎龍太郎 - 無間孤独|
白发魔女_冰渃灆 - 无与伦比的美丽|
蘭玥澴 - 若相惜|
麦子 - 决定遵行耶和华的律法|
艾糯勐傣 - 随你走|
神月56 - 蓝蓝的苜蓿花|
纯音乐 - 最新版三跺脚2|
林姗姗 - 旧风褛 (自制版伴奏)|
梁宇軒 - 众生相|
曾寓慈 - 給消失的城橋|
绰月等八人 - 平安奇妙物语|
茆荣怀 - 合肥欢迎你|
蟲十一 - 默|
砒霜卿 - 我本應這般潦草一生|
虞淙 - 忆秦娥 元霄节|
笹川鎮江 - 涼州詞|
关楚耀 - 孱弱 (原版伴奏)|
筝座 - 百花繚乱|
風水嵯峨 - 山原|
高徯晞 - 别把最疼爱你的人弄丢了|
轻奕霏尘 - 炷香愿亡父早升天堂|
文柒兩 - 也无风雨|
操奕恒 易文卉 - 社区乐儿嗬|
吴泗滨 - 钢八连之歌|
望长安 - 吴钩歧路回身|
文彣 - 想你想你|
镹阳 - 这就是我|
紫溆 - 七秀吟|
住友紀人 - 破壊神選抜格闘試合開幕! (战斗的间隙)|
李想 - 轭 (原版伴奏)|
福居一大 - 津軽小原節|
感觉 - 哈尼族爱伲族阿卡广场舞蹈歌曲|
金小凤 - 舂米歌|
溫式情歌 - 我輸了|
査超 - 半城烟沙|
罗清峋 - 风尽禾起|
于文华 - 召南 摽有梅|
金昌完 - 蛞蝼|
重劍無鋒 - 只爱西经|
辻 - 荔枝大娘|
海峽依依 - 爱情保险|
东皇倾槿 - 柸中有雪|
査超 - 玫瑰花的葬礼|
雛 - 鎮魂歌'|
林致溢 - 过客别墅|
青莀 - 苏幕遮|
傅佩嘉 - 干掉你的胃 (原版伴奏)|
杨一伟 - 情羹|
网络歌手 - 蒙古国版 鄂尔多斯民歌 黑缎子坎肩|
爻辞 - 与君书|
天井桟敷 - 四月|
宝井厳 - 三寸天堂|
誤擾 - 刺激战场 玩家抢破头都要拿的空投神器 吉利服 穿上它就能隐身|
天井桟敷 - 十二月|
天井桟敷 - 短歌|
李淙浩 - 杨家将|
天井桟敷 - 煙草|
天井桟敷 - 十一月|
中村悠一 - 不知火一樹~自己紹介~|
文彣 - 都说|
宮内庁楽部 - 黄鐘調越天楽|
宮内庁楽部 - 越天楽今様|
宮内庁楽部 - (舞楽) 貴徳: 高麗壱越調小音取|
宮内庁楽部 - 平調音取|
茅根美和子 - 女王謁見|
簋依 - 想念后再见|
聼悦 - 140首喜乐歌|
海峽依依 - 没有你我也会很幸福|
宮内庁楽部 - 盤渉調越天楽|
佚名 - 迷蹤|
花世 - 北邙终舞|
湜非 - 高原蓝|
梁正发 - 郧县人北京人|
龙刚 - 廾人木|
十三乐坊成员 - 13樂鈁 相聚十三乐坊|
漴尔 - 皈依|
网络歌手 - 十小咒02消災吉祥咒(梵音教学)[果滨]|
